GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
423,423,24d09m49.8s,15d46m1.1s,31,20,27,-40,A,medium
424,424,24d09m49.9s,15d46m48.6s,30,21,27,-20,A,medium
425,425,24d09m49.9s,15d46m17.3s,23,23,23,0,A,small
426,426,24d09m49.9s,15d46m2.9s,18,17,18,-90,A,small
427,427,24d09m50.0s,15d48m8.5s,381,282,348,-60,A,edgeLarge
428,428,24d09m50.0s,15d47m46.2s,14,14,14,0,A,tiny
429,429,24d09m50.0s,15d46m9.3s,23,21,22,0,A,small
430,430,24d09m50.1s,15d46m54.1s,44,43,44,-90,A,giants
431,431,24d09m50.2s,15d45m55.0s,22,22,22,0,A,small
432,432,24d09m50.2s,15d46m2.4s,19,18,19,0,A,small
433,433,24d09m50.2s,15d46m5.0s,15,15,15,0,A,tiny
437,437,24d09m50.4s,15d47m48.9s,16,16,16,0,A,tiny
438,438,24d09m50.5s,15d45m43.2s,52,52,52,0,A,giants
439,439,24d09m50.5s,15d46m22.0s,48,48,48,0,A,giants
440,440,24d09m50.7s,15d46m41.6s,15,15,15,0,A,tiny
441,441,24d09m50.7s,15d46m10.2s,20,20,20,0,A,small
442,442,24d09m50.7s,15d45m58.7s,30,22,27,-90,A,medium
443,443,24d09m50.7s,15d46m55.5s,18,16,17,-90,A,tiny
445,445,24d09m50.8s,15d47m42.8s,29,29,29,0,A,medium
446,446,24d09m50.8s,15d46m48.0s,18,18,18,0,A,small
447,447,24d09m50.9s,15d46m5.6s,12,11,12,-90,A,tiny
448,448,24d09m50.9s,15d47m31.0s,17,17,17,0,A,tiny
449,449,24d09m51.0s,15d46m50.2s,17,17,17,0,A,tiny
450,450,24d09m51.0s,15d47m38.5s,60,42,54,-90,A,giants
451,451,24d09m51.1s,15d45m44.8s,17,17,17,0,A,tiny
454,454,24d09m51.1s,15d46m45.9s,16,16,16,0,A,tiny
455,455,24d09m51.1s,15d46m58.7s,18,17,18,-90,A,small
456,456,24d09m51.2s,15d46m11.3s,14,13,14,-80,A,tiny
457,457,24d09m51.2s,15d47m26.6s,79,65,75,-30,A,giants
458,458,24d09m51.3s,15d47m48.7s,25,25,25,0,A,medium
460,460,24d09m51.4s,15d46m7.8s,248,152,216,0,A,edgeLarge
461,461,24d09m51.5s,15d47m46.1s,22,22,22,0,A,small
462,462,24d09m51.5s,15d45m58.2s,17,17,17,0,A,tiny
463,463,24d09m51.5s,15d46m51.6s,36,26,33,0,A,large
464,464,24d09m51.6s,15d46m9.0s,10,10,10,-90,A,tiny
465,465,24d09m51.6s,15d47m24.9s,24,23,24,-90,A,medium
467,467,24d09m51.7s,15d47m52.5s,27,27,27,0,A,medium
468,468,24d09m51.8s,15d46m57.9s,18,16,17,-90,A,tiny
