GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
1138,1138,24d10m36.7s,15d45m7.6s,47,47,47,0,2,-209,5.44,A
1140,1140,24d10m36.9s,15d45m9.3s,42,42,42,0,2,-223,5.36,A
1143,1143,24d10m37.0s,15d46m32.5s,55,48,53,0,4,-193,1.46,A
1146,1146,24d10m37.3s,15d46m49.0s,57,57,57,0,4,-237,0.78,A
1160,1160,24d10m38.3s,15d46m55.6s,65,53,61,0,4,-30,1.33,A
1166,1166,24d10m38.7s,15d46m36.9s,46,31,41,0,4,68,1.14,A
1168,1168,24d10m38.7s,15d46m43.2s,68,68,68,0,4,-221,0.76,A
1177,1177,24d10m39.0s,15d47m23.0s,102,63,89,20,4,-14,1.42,A
1184,1184,24d10m39.5s,15d47m23.1s,52,52,52,0,4,41,2.81,A
1189,1189,24d10m39.7s,15d46m57.3s,64,64,64,0,2,121,3.55,A
1194,1194,24d10m40.3s,15d47m26.2s,42,40,42,0,4,189,0.67,A
1201,1201,24d10m40.6s,15d47m25.1s,66,58,63,0,2,153,3.71,A
1206,1206,24d10m40.8s,15d45m6.2s,69,69,69,0,4,10,2.61,A
1207,1207,24d10m40.9s,15d46m8.4s,144,144,144,0,4,112,3.2,A
1211,1211,24d10m41.0s,15d46m48.8s,68,40,59,25,4,11,1.56,A
1213,1213,24d10m41.2s,15d46m44.8s,78,68,74,0,2,113,3.51,A
1218,1218,24d10m41.6s,15d46m37.5s,55,54,54,0,4,192,0.78,A
1221,1221,24d10m42.1s,15d47m26.0s,55,36,49,0,4,199,1.0,A
1222,1222,24d10m42.2s,15d46m47.1s,294,182,256,-50,4,-196,1.2,A
1231,1231,24d10m42.6s,15d46m26.1s,64,59,62,50,4,-186,1.32,A
1238,1238,24d10m42.9s,15d47m25.4s,167,143,159,-30,4,208,3.72,A
1249,1249,24d10m43.6s,15d46m56.0s,56,56,56,0,4,244,3.92,A
1259,1259,24d10m44.3s,15d47m43.6s,66,44,58,70,1,-128,4.33,A
1260,1260,24d10m44.4s,15d48m30.1s,48,30,42,-70,4,-1,1.49,A
1261,1261,24d10m44.4s,15d47m26.7s,75,75,75,0,4,51,2.82,A
1265,1265,24d10m44.5s,15d46m57.7s,46,30,41,-60,2,80,3.36,A
1269,1269,24d10m45.0s,15d47m16.3s,82,82,82,0,4,-10,2.44,A
1271,1271,24d10m45.1s,15d46m57.7s,90,46,75,40,4,-174,1.13,A
1275,1275,24d10m45.3s,15d47m27.7s,45,45,45,0,2,164,3.8,A
1278,1278,24d10m45.3s,15d48m36.2s,45,44,45,0,4,-168,1.3,A
1287,1287,24d10m45.7s,15d46m56.9s,54,54,54,0,2,-135,2.24,A
1289,1289,24d10m46.2s,15d45m13.3s,62,50,58,90,4,6,1.54,A
1290,1290,24d10m46.2s,15d47m26.7s,81,81,81,0,4,72,2.93,A
1305,1305,24d10m47.6s,15d46m53.0s,54,54,54,0,2,49,3.21,A
1308,1308,24d10m47.9s,15d46m42.3s,45,45,45,0,4,-121,1.7,A
1311,1311,24d10m48.3s,15d47m25.0s,46,46,46,0,4,14,1.6,A
1312,1312,24d10m48.4s,15d47m26.7s,238,185,220,-65,2,77,3.36,A
1313,1313,24d10m48.7s,15d48m8.1s,92,55,79,0,4,149,3.34,A
1320,1320,24d10m49.3s,15d47m45.5s,56,29,47,60,4,75,2.92,A
1321,1321,24d10m49.7s,15d46m4.4s,52,52,52,0,2,172,3.86,A
1323,1323,24d10m49.8s,15d47m4.8s,42,39,41,90,4,12,1.58,A
1325,1325,24d10m49.8s,15d47m20.1s,42,42,42,0,4,-1,1.52,A
1327,1327,24d10m50.0s,15d47m19.7s,71,49,63,90,4,-127,1.49,A
1328,1328,24d10m50.1s,15d46m40.1s,54,54,54,0,4,14,2.56,A
1332,1332,24d10m51.1s,15d47m58.0s,67,47,60,80,4,145,3.3,A
1348,1348,24d10m53.6s,15d48m7.3s,50,50,50,0,4,-11,2.36,A
1349,1349,24d10m53.7s,15d46m19.4s,42,42,42,0,1,-184,4.25,A
1357,1357,24d10m54.5s,15d47m15.3s,256,154,222,-79,4,-87,1.71,A
1358,1358,24d10m54.6s,15d46m38.4s,167,114,149,0,4,39,1.74,A
