ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
306,24d09m43.1s,15d47m48.2s,39,24,34,-40,2,59,2.98
307,24d09m43.2s,15d46m52.5s,12,9,11,60,2,27,2
308,24d09m43.3s,15d47m20.7s,52,48,51,25,2,-22,2.17
309,24d09m43.4s,15d47m0.0s,25,23,24,-90,2,3,1.95
310,24d09m43.5s,15d46m10.0s,34,28,32,0,4,-36,3.12
311,24d09m43.6s,15d47m6.9s,53,48,51,20,2,-11,1.96
312,24d09m43.6s,15d46m57.0s,22,16,20,-90,2,8,1.95
313,24d09m43.9s,15d48m31.3s,29,29,29,0,3,-118,4.71
314,24d09m43.9s,15d45m52.4s,24,24,24,0,4,112,3.80
315,24d09m43.9s,15d46m51.5s,18,17,18,0,2,26,1.98
316,24d09m44.0s,15d46m8.6s,12,11,12,-90,4,-23,3.16
317,24d09m44.0s,15d47m31.5s,16,16,16,0,2,-9,2.41
318,24d09m44.0s,15d46m56.0s,21,21,21,0,2,8,1.94
319,24d09m44.0s,15d45m51.3s,35,29,33,-20,4,122,3.85
320,24d09m44.2s,15d47m1.9s,33,31,33,-90,2,-10,1.91
321,24d09m44.2s,15d47m26.9s,39,39,39,0,2,-24,2.27
322,24d09m44.4s,15d48m0.4s,29,29,29,0,2,129,3.41
323,24d09m44.4s,15d47m35.4s,55,50,53,0,2,-6,2.51
324,24d09m44.6s,15d46m10.7s,18,18,18,0,4,-42,3.06
325,24d09m44.7s,15d47m29.8s,89,80,86,-90,2,-19,2.34
326,24d09m44.8s,15d45m50.1s,30,28,29,0,4,130,3.88
327,24d09m44.8s,15d48m38.6s,27,27,27,0,3,-78,5.02
328,24d09m44.9s,15d48m32.5s,19,19,19,0,3,-116,4.75
329,24d09m44.9s,15d48m11.8s,21,20,21,-90,2,203,3.86
330,24d09m44.9s,15d46m50.8s,31,31,31,0,2,21,1.94
331,24d09m45.0s,15d46m58.4s,27,25,27,0,2,-3,1.88
332,24d09m45.0s,15d46m8.5s,45,45,45,0,4,-24,3.14
333,24d09m45.0s,15d46m54.8s,30,25,28,0,2,5,1.90
334,24d09m45.0s,15d46m19.6s,14,14,14,0,4,-121,2.73
335,24d09m45.0s,15d46m9.8s,25,25,25,0,4,-35,3.09
336,24d09m45.0s,15d46m44.4s,14,14,14,0,2,47,2.04
337,24d09m45.1s,15d46m57.2s,31,20,28,75,2,-5,1.88
338,24d09m45.1s,15d47m31.8s,55,44,51,20,2,-18,2.38
339,24d09m45.2s,15d45m52.1s,33,33,33,0,4,113,3.79
340,24d09m45.2s,15d46m2.8s,70,48,63,-15,4,21,3.35
341,24d09m45.2s,15d47m1.1s,40,27,35,-90,2,-13,1.87
342,24d09m45.2s,15d48m1.0s,26,26,26,0,2,128,3.41
343,24d09m45.4s,15d46m4.5s,32,32,32,0,4,6,3.28
344,24d09m45.4s,15d46m59.8s,15,11,14,0,2,-13,1.86
345,24d09m45.4s,15d47m21.6s,35,31,34,-90,2,-41,2.10
346,24d09m45.5s,15d47m33.5s,34,34,34,0,2,-19,2.42
347,24d09m45.5s,15d46m0.7s,19,19,19,0,4,36,3.43
348,24d09m45.6s,15d48m39.1s,28,28,28,0,3,-79,5.03
349,24d09m45.6s,15d46m1.5s,33,26,31,30,4,29,3.39
350,24d09m45.7s,15d46m41.4s,51,46,50,0,2,59,2.07
351,24d09m45.8s,15d46m21.7s,25,25,25,0,4,-142,2.63
352,24d09m45.8s,15d46m10.7s,11,11,11,0,4,-45,3.03
353,24d09m45.8s,15d47m0.2s,14,14,14,0,2,-17,1.84
354,24d09m45.8s,15d46m22.9s,15,15,15,0,4,-152,2.59
355,24d09m45.9s,15d46m59.2s,20,14,18,70,2,-14,1.84
356,24d09m45.9s,15d47m30.2s,32,32,32,0,2,-26,2.30
357,24d09m45.9s,15d47m22.8s,32,32,32,0,2,-45,2.11
358,24d09m45.9s,15d46m10.2s,19,14,17,0,4,-41,3.05
359,24d09m46.0s,15d46m38.6s,36,36,36,0,2,73,2.12
360,24d09m46.1s,15d47m0.9s,18,18,18,0,2,-20,1.83
361,24d09m46.1s,15d47m56.3s,53,35,47,0,2,93,3.21
362,24d09m46.2s,15d46m9.2s,12,11,12,0,4,-35,3.08
363,24d09m46.2s,15d46m7.0s,16,15,16,-90,4,-15,3.16
364,24d09m46.2s,15d46m59.7s,29,28,28,0,2,-19,1.82
365,24d09m46.2s,15d47m24.9s,34,34,34,0,2,-42,2.15
366,24d09m46.4s,15d47m14.8s,48,43,46,-90,2,-47,1.93
367,24d09m46.4s,15d46m55.9s,45,45,45,0,2,-9,1.83
